knmp_id,nama_knmp,kabupaten,provinsi,nama_tpi,komoditas,harga_aktual,tanggal,match_type
1,Kayu Batu,Kota Jayapura,PAPUA,,,,,tidak_ada_data
2,"Kp. Mandala, Kel. Mandala",Kota Jayapura,PAPUA,,,,,tidak_ada_data
3,Enggros,Kota Jayapura,PAPUA,,,,,tidak_ada_data
4,"Kp. Biak, Kel. Abepantai",Kota Jayapura,PAPUA,,,,,tidak_ada_data
5,Yakore,Jayapura,PAPUA,,,,,tidak_ada_data
6,Muris Kecil,Jayapura,PAPUA,,,,,tidak_ada_data
7,Demta,Jayapura,PAPUA,,,,,tidak_ada_data
8,Ambora,Jayapura,PAPUA,,,,,tidak_ada_data
9,Tarfia,Jayapura,PAPUA,,,,,tidak_ada_data
10,Meukisi,Jayapura,PAPUA,,,,,tidak_ada_data
11,Maruway,Jayapura,PAPUA,,,,,tidak_ada_data
12,Kendate,Jayapura,PAPUA,,,,,tidak_ada_data
13,Tablasupa,Jayapura,PAPUA,,,,,tidak_ada_data
14,Dormena,Jayapura,PAPUA,,,,,tidak_ada_data
15,Waiya,Jayapura,PAPUA,,,,,tidak_ada_data
16,Yongsu Dosoyo,Jayapura,PAPUA,,,,,tidak_ada_data
17,Tanjung Barari,Biak Numfor,PAPUA,,,,,tidak_ada_data
18,Anggaduber,Biak Numfor,PAPUA,,,,,tidak_ada_data
19,Sawadori,Biak Numfor,PAPUA,,,,,tidak_ada_data
20,Animi,Biak Numfor,PAPUA,,,,,tidak_ada_data
21,Soryar,Biak Numfor,PAPUA,,,,,tidak_ada_data
22,Kornasuren,Biak Numfor,PAPUA,,,,,tidak_ada_data
23,Pyefuri,Biak Numfor,PAPUA,,,,,tidak_ada_data
24,Serbin,Biak Numfor,PAPUA,,,,,tidak_ada_data
25,Mandori,Biak Numfor,PAPUA,,,,,tidak_ada_data
26,Sauribru,Biak Numfor,PAPUA,,,,,tidak_ada_data
27,Saukobye,Biak Numfor,PAPUA,,,,,tidak_ada_data
28,Yobdi,Biak Numfor,PAPUA,,,,,tidak_ada_data
29,Sawai,Biak Numfor,PAPUA,,,,,tidak_ada_data
30,Bosnabraidi,Biak Numfor,PAPUA,,,,,tidak_ada_data
31,Insiri,Biak Numfor,PAPUA,,,,,tidak_ada_data
32,Rarsbari,Biak Numfor,PAPUA,,,,,tidak_ada_data
33,Insusbari,Biak Numfor,PAPUA,,,,,tidak_ada_data
34,Sarwa,Biak Numfor,PAPUA,,,,,tidak_ada_data
35,Waroi,Biak Numfor,PAPUA,,,,,tidak_ada_data
36,Adoki,Biak Numfor,PAPUA,,,,,tidak_ada_data
37,Urfu,Biak Numfor,PAPUA,,,,,tidak_ada_data
38,Inpendi,Biak Numfor,PAPUA,,,,,tidak_ada_data
39,Moiwani,Kepulauan Yapen,PAPUA,,,,,tidak_ada_data
40,Maniri,Kepulauan Yapen,PAPUA,,,,,tidak_ada_data
41,Inowa,Kepulauan Yapen,PAPUA,,,,,tidak_ada_data
42,Miosnum,Kepulauan Yapen,PAPUA,,,,,tidak_ada_data
43,Aibondeni,Kepulauan Yapen,PAPUA,,,,,tidak_ada_data
44,Nurawi,Kepulauan Yapen,PAPUA,,,,,tidak_ada_data
45,Tindaret,Kepulauan Yapen,PAPUA,,,,,tidak_ada_data
46,Sambrawai,Kepulauan Yapen,PAPUA,,,,,tidak_ada_data
47,Mungui,Kepulauan Yapen,PAPUA,,,,,tidak_ada_data
48,Toroa,Kepulauan Yapen,PAPUA,,,,,tidak_ada_data
49,Roipi,Kepulauan Yapen,PAPUA,,,,,tidak_ada_data
50,Ketuapi,Kepulauan Yapen,PAPUA,,,,,tidak_ada_data
51,Rambai,Kepulauan Yapen,PAPUA,,,,,tidak_ada_data
52,Barearip,Kepulauan Yapen,PAPUA,,,,,tidak_ada_data
53,Kurudu,Kepulauan Yapen,PAPUA,,,,,tidak_ada_data
54,Korombobi,Kepulauan Yapen,PAPUA,,,,,tidak_ada_data
55,Fanindi,Supiori,PAPUA,,,,,tidak_ada_data
56,Rayori,Supiori,PAPUA,,,,,tidak_ada_data
57,Waryei,Supiori,PAPUA,,,,,tidak_ada_data
58,Kaptiau,Sarmi,PAPUA,,,,,tidak_ada_data
59,Wakde 1,Sarmi,PAPUA,,,,,tidak_ada_data
60,Holmafen,Sarmi,PAPUA,,,,,tidak_ada_data
61,Armo,Sarmi,PAPUA,,,,,tidak_ada_data
62,Amfira,Sarmi,PAPUA,,,,,tidak_ada_data
63,Webro,Sarmi,PAPUA,,,,,tidak_ada_data
64,Sanggei,Waropen,PAPUA,,,,,tidak_ada_data
65,Nau,Waropen,PAPUA,,,,,tidak_ada_data
66,Somiangga,Waropen,PAPUA,,,,,tidak_ada_data
67,Segha,Waropen,PAPUA,,,,,tidak_ada_data
68,Koweda,Waropen,PAPUA,,,,,tidak_ada_data
69,Odase,Waropen,PAPUA,,,,,tidak_ada_data
70,Wapoga,Waropen,PAPUA,,,,,tidak_ada_data
71,Yoke,Membramo Raya,PAPUA,,,,,tidak_ada_data
72,Poiwai,Membramo Raya,PAPUA,,,,,tidak_ada_data
73,Bariwaro,Membramo Raya,PAPUA,,,,,tidak_ada_data
74,Nadofoai,Membramo Raya,PAPUA,,,,,tidak_ada_data
75,Kumbe,Merauke,PAPUA SELATAN,,,,,tidak_ada_data
76,Sumur Aman,Mappi,PAPUA SELATAN,,,,,tidak_ada_data
77,Mur,Mappi,PAPUA SELATAN,,,,,tidak_ada_data
78,Isyaman,Mappi,PAPUA SELATAN,,,,,tidak_ada_data
79,Wagin,Mappi,PAPUA SELATAN,,,,,tidak_ada_data
80,Kofar,Mappi,PAPUA SELATAN,,,,,tidak_ada_data
81,Bakasai,Asmat,PAPUA SELATAN,,,,,tidak_ada_data
82,Mbait,Asmat,PAPUA SELATAN,,,,,tidak_ada_data
83,Siriwini,Nabire,PAPUA TENGAH,,,,,tidak_ada_data
84,Waenami,Nabire,PAPUA TENGAH,,,,,tidak_ada_data
85,Akudiomi,Nabire,PAPUA TENGAH,,,,,tidak_ada_data
86,Samabusa,Nabire,PAPUA TENGAH,,,,,tidak_ada_data
87,Ipakiye,Paniai,PAPUA TENGAH,,,,,tidak_ada_data
88,Ayuka,Mimika,PAPUA TENGAH,,,,,tidak_ada_data
89,Atukah,Mimika,PAPUA TENGAH,,,,,tidak_ada_data
90,Tiwaka,Mimika,PAPUA TENGAH,,,,,tidak_ada_data
91,Keakwa,Mimika,PAPUA TENGAH,,,,,tidak_ada_data
92,Aikawapuka,Mimika,PAPUA TENGAH,,,,,tidak_ada_data
93,Akapo,Mimika,PAPUA TENGAH,,,,,tidak_ada_data
94,Kiura,Mimika,PAPUA TENGAH,,,,,tidak_ada_data
95,Mimika,Mimika,PAPUA TENGAH,,,,,tidak_ada_data
96,Migiwiya,Mimika,PAPUA TENGAH,,,,,tidak_ada_data
